Disabling dynamic polling
---------------------------------------------------------------------------------------
                    RDMA_Read Latency Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 1
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Outstand reads  : 16
 rdma_cm QPs	 : ON
 Data ex. method : rdma_cm 	TOS    : 41
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x01a2 PSN 0x59ee56
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:100:94
 remote address: LID 0000 QPN 0x01e0 PSN 0xbd18ee
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:100:92
---------------------------------------------------------------------------------------
 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec] 
 2       1000          5.40           15.56        5.45     	       5.51        	0.54   		5.74    		15.56  
 4       1000          5.40           13.83        5.45     	       5.48        	0.26   		5.63    		13.83  
 8       1000          5.40           12.03        5.45     	       5.48        	0.18   		5.63    		12.03  
 16      1000          5.42           16.86        5.46     	       5.52        	0.59   		5.63    		16.86  
 32      1000          5.42           17.47        5.46     	       5.50        	0.37   		5.65    		17.47  
 64      1000          5.42           14.86        5.48     	       5.52        	0.29   		5.79    		14.86  
 128     1000          5.45           14.08        5.51     	       5.54        	0.30   		5.77    		14.08  
 256     1000          5.52           13.00        5.57     	       5.61        	0.33   		5.72    		13.00  
 512     1000          5.55           15.38        5.59     	       5.65        	0.53   		5.91    		15.38  
 1024    1000          5.65           13.40        5.71     	       5.75        	0.29   		5.89    		13.40  
 2048    1000          5.86           11.96        5.90     	       5.93        	0.24   		6.10    		11.96  
 4096    1000          6.30           14.88        6.34     	       6.37        	0.27   		6.65    		14.88  
 8192    1000          6.78           21.07        6.85     	       6.90        	0.43   		7.16    		21.07  
 16384   1000          7.96           24.56        8.05     	       8.11        	0.54   		8.45    		24.56  
 32768   1000          8.70           18.92        8.79     	       8.85        	0.40   		9.59    		18.92  
 65536   1000          10.68          18.16        10.78    	       10.82       	0.28   		11.20   		18.16  
 131072  1000          13.84          21.93        13.96    	       14.00       	0.30   		14.38   		21.93  
 262144  1000          20.72          31.71        20.85    	       20.90       	0.33   		22.10   		31.71  
 524288  1000          25.68          2173.26      29.45    	       35.73       	70.59  		135.04  		2173.26
 1048576 1000          47.65          76.57        47.96    	       48.91       	3.48   		63.81   		76.57  
 2097152 1000          81.74          120.00       85.07    	       86.48       	5.56   		116.15  		120.00 
 4194304 1000          156.22         797.45       159.59   	       162.60      	22.14  		243.33  		797.45 
 8388608 1000          304.88         880.36       308.15   	       312.73      	32.46  		613.01  		880.36 
---------------------------------------------------------------------------------------
