Disabling dynamic polling
---------------------------------------------------------------------------------------
                    RDMA_Read Latency Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 1
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Outstand reads  : 16
 rdma_cm QPs	 : ON
 Data ex. method : rdma_cm 	TOS    : 41
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x017a PSN 0xe0efad
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:100:94
 remote address: LID 0000 QPN 0x01b8 PSN 0xc2f0ab
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:100:92
---------------------------------------------------------------------------------------
 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec] 
 2       1000          5.45           16.91        5.52     	       5.60        	0.53   		5.92    		16.91  
 4       1000          5.45           14.70        5.51     	       5.55        	0.41   		5.76    		14.70  
 8       1000          5.45           14.01        5.50     	       5.54        	0.32   		5.83    		14.01  
 16      1000          5.46           17.91        5.56     	       5.63        	0.41   		6.20    		17.91  
 32      1000          5.45           15.00        5.56     	       5.63        	0.41   		5.93    		15.00  
 64      1000          5.46           14.65        5.51     	       5.55        	0.36   		5.63    		14.65  
 128     1000          5.49           10.73        5.53     	       5.55        	0.16   		5.73    		10.73  
 256     1000          5.53           13.54        5.57     	       5.61        	0.29   		5.75    		13.54  
 512     1000          5.56           15.25        5.68     	       5.74        	0.41   		6.05    		15.25  
 1024    1000          5.87           20.06        5.91     	       5.98        	0.55   		6.35    		20.06  
 2048    1000          6.04           16.79        6.26     	       6.32        	0.71   		10.32   		16.79  
 4096    1000          6.40           15.42        6.45     	       6.51        	0.44   		7.21    		15.42  
 8192    1000          6.89           15.90        7.10     	       7.15        	0.35   		8.05    		15.90  
 16384   1000          8.23           20.46        8.57     	       8.63        	0.60   		9.39    		20.46  
 32768   1000          9.31           21.45        9.62     	       9.69        	0.69   		10.84   		21.45  
 65536   1000          10.79          20.97        10.94    	       11.04       	0.54   		14.13   		20.97  
 131072  1000          14.37          25.18        14.65    	       14.81       	0.57   		18.63   		25.18  
 262144  1000          21.49          30.99        22.14    	       22.21       	0.47   		23.49   		30.99  
 524288  1000          26.75          2174.01      29.80    	       36.31       	70.67  		136.10  		2174.01
 1048576 1000          44.70          2400.82      48.31    	       52.55       	32.07  		135.10  		2400.82
 2097152 1000          84.92          141.67       85.26    	       86.03       	3.74   		105.10  		141.67 
 4194304 1000          156.12         806.88       159.60   	       162.57      	21.64  		244.43  		806.88 
 8388608 1000          306.63         1536.73      308.20   	       310.64      	19.65  		375.22  		1536.73
---------------------------------------------------------------------------------------
