Disabling dynamic polling
---------------------------------------------------------------------------------------
                    RDMA_Read Latency Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 1
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Outstand reads  : 16
 rdma_cm QPs	 : ON
 Data ex. method : rdma_cm 	TOS    : 41
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x01a7 PSN 0x9ab165
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:100:94
 remote address: LID 0000 QPN 0x01a6 PSN 0x3ab67c
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:100:92
---------------------------------------------------------------------------------------
 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec] 
 2       1000          4.95           15.78        5.04     	       5.09        	0.53   		5.31    		15.78  
 4       1000          4.95           18.34        5.04     	       5.07        	0.32   		5.21    		18.34  
 8       1000          4.96           15.98        5.04     	       5.09        	0.43   		5.31    		15.98  
 16      1000          4.96           22.57        5.04     	       5.12        	0.80   		5.38    		22.57  
 32      1000          4.97           15.80        5.05     	       5.09        	0.33   		5.47    		15.80  
 64      1000          4.99           15.94        5.06     	       5.09        	0.23   		5.23    		15.94  
 128     1000          4.99           14.13        5.07     	       5.13        	0.48   		5.26    		14.13  
 256     1000          5.04           14.04        5.10     	       5.14        	0.41   		5.22    		14.04  
 512     1000          5.06           56.86        5.15     	       5.22        	0.54   		5.43    		56.86  
 1024    1000          5.16           13.06        5.23     	       5.28        	0.31   		5.42    		13.06  
 2048    1000          5.32           14.53        5.39     	       5.42        	0.31   		5.55    		14.53  
 4096    1000          5.68           13.94        5.76     	       5.80        	0.38   		5.93    		13.94  
 8192    1000          6.01           16.02        6.11     	       6.16        	0.42   		6.43    		16.02  
 16384   1000          7.34           18.41        7.46     	       7.50        	0.44   		7.62    		18.41  
 32768   1000          7.93           16.34        8.09     	       8.12        	0.38   		8.35    		16.34  
 65536   1000          9.27           20.17        9.41     	       9.44        	0.37   		9.77    		20.17  
 131072  1000          11.58          18.71        11.69    	       11.72       	0.33   		12.23   		18.71  
 262144  1000          17.08          26.38        17.20    	       17.26       	0.42   		18.88   		26.38  
 524288  1000          26.24          81.75        26.57    	       26.77       	1.50   		31.69   		81.75  
 1048576 1000          46.57          84.08        46.82    	       47.05       	1.34   		51.89   		84.08  
 2097152 1000          87.25          141.87       87.85    	       88.05       	1.45   		91.48   		141.87 
 4194304 1000          170.27         212.44       170.70   	       170.92      	1.84   		175.40  		212.44 
 8388608 1000          335.16         377.83       335.79   	       336.20      	2.88   		351.83  		377.83 
---------------------------------------------------------------------------------------
