Disabling dynamic polling
---------------------------------------------------------------------------------------
                    RDMA_Read Latency Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 1
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Outstand reads  : 16
 rdma_cm QPs	 : ON
 Data ex. method : rdma_cm 	TOS    : 41
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x01f7 PSN 0xfec6b6
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:100:94
 remote address: LID 0000 QPN 0x01f6 PSN 0x6602be
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:100:92
---------------------------------------------------------------------------------------
 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec] 
 2       1000          4.97           18.70        5.04     	       5.09        	0.46   		5.37    		18.70  
 4       1000          4.98           13.82        5.04     	       5.08        	0.33   		5.25    		13.82  
 8       1000          4.97           11.60        5.04     	       5.08        	0.27   		5.23    		11.60  
 16      1000          4.96           14.17        5.04     	       5.08        	0.33   		5.21    		14.17  
 32      1000          4.97           14.87        5.05     	       5.09        	0.35   		5.21    		14.87  
 64      1000          5.00           15.33        5.07     	       5.11        	0.45   		5.42    		15.33  
 128     1000          5.00           23.99        5.08     	       5.17        	0.77   		5.48    		23.99  
 256     1000          5.04           19.38        5.12     	       5.15        	0.14   		5.30    		19.38  
 512     1000          5.07           14.38        5.16     	       5.22        	0.42   		5.36    		14.38  
 1024    1000          5.16           12.70        5.24     	       5.28        	0.26   		5.49    		12.70  
 2048    1000          5.31           14.52        5.39     	       5.43        	0.23   		5.66    		14.52  
 4096    1000          5.69           17.66        5.82     	       5.85        	0.38   		5.96    		17.66  
 8192    1000          5.94           13.38        6.02     	       6.05        	0.24   		6.22    		13.38  
 16384   1000          7.29           16.44        7.40     	       7.45        	0.42   		7.76    		16.44  
 32768   1000          7.93           20.11        8.06     	       8.12        	0.50   		10.77   		20.11  
 65536   1000          9.19           23.53        9.33     	       9.38        	0.59   		9.84    		23.53  
 131072  1000          11.51          22.22        11.64    	       11.69       	0.57   		12.24   		22.22  
 262144  1000          17.03          25.00        17.25    	       17.29       	0.25   		17.91   		25.00  
 524288  1000          25.75          34.84        25.94    	       26.08       	0.41   		26.94   		34.84  
 1048576 1000          46.19          64.42        46.46    	       46.64       	0.78   		48.30   		64.42  
 2097152 1000          87.15          127.52       87.64    	       87.83       	1.12   		92.56   		127.52 
 4194304 1000          169.88         210.23       170.43   	       170.67      	1.54   		176.51  		210.23 
 8388608 1000          334.72         375.59       335.34   	       335.74      	2.85   		354.19  		375.59 
---------------------------------------------------------------------------------------
